stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9722.06
0,1,0.1,20000,19365,19215
0,2,0.15,30000,28948,28771.4
0,3,0.2,40000,38523,38164
0,4,0.25,50000,48096,47441.4
0,5,0.3,60000,57653,56884.4
0,6,0.35,70000,67188,67696
0,7,0.4,80000,76688,75147.5
0,8,0.45,90000,86209,85574.8
0,9,0.5,100000,95672,94774.3
0,10,0.55,110000,105138,104704
0,11,0.6,120000,114603,115145
0,12,0.65,130000,124024,125803
0,13,0.7,140000,133431,136810
0,14,0.75,150000,142817,147984
0,15,0.8,160000,152222,157902
0,16,0.85,170000,161627,168790
0,17,0.9,180000,171051,178758
0,18,0.95,190000,180433,183426
0,19,1,200000,189809,194609
1,0,0.05,10000,9714,9932.05
1,1,0.1,20000,19354,19706.2
1,2,0.15,30000,28935,29045.9
1,3,0.2,40000,38505,39164
1,4,0.25,50000,48062,48391.5
1,5,0.3,60000,57550,58590.4
1,6,0.35,70000,67026,67046.9
1,7,0.4,80000,76558,76920.7
1,8,0.45,90000,86051,86823.6
1,9,0.5,100000,95577,98028.7
1,10,0.55,110000,105015,109669
1,11,0.6,120000,114470,119299
1,12,0.65,130000,123925,131105
1,13,0.7,140000,133374,142036
1,14,0.75,150000,142860,149250
1,15,0.8,160000,152314,161876
1,16,0.85,170000,161755,170469
1,17,0.9,180000,171164,178386
1,18,0.95,190000,180584,187727
1,19,1,200000,189976,197164
2,0,0.05,10000,9728,9582.13
2,1,0.1,20000,19341,19495.1
2,2,0.15,30000,28974,29133.5
2,3,0.2,40000,38565,38797.3
2,4,0.25,50000,48138,48220.8
2,5,0.3,60000,57669,56237.2
2,6,0.35,70000,67224,65542.7
2,7,0.4,80000,76757,76785.9
2,8,0.45,90000,86259,85011.9
2,9,0.5,100000,95717,95555.8
2,10,0.55,110000,105214,103926
2,11,0.6,120000,114632,112659
2,12,0.65,130000,124128,123143
2,13,0.7,140000,133585,133115
2,14,0.75,150000,143020,141950
2,15,0.8,160000,152420,149845
2,16,0.85,170000,161841,157934
2,17,0.9,180000,171260,166155
2,18,0.95,190000,180593,178616
2,19,1,200000,189987,188356
3,0,0.05,10000,9695,9702.96
3,1,0.1,20000,19319,19542.8
3,2,0.15,30000,28868,28979
3,3,0.2,40000,38467,39096.2
3,4,0.25,50000,48069,47578.1
