stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9569.7
0,1,0.1,20000,19365,19166.3
0,2,0.15,30000,28948,29376
0,3,0.2,40000,38523,38837.8
0,4,0.25,50000,48096,48424.1
0,5,0.3,60000,57653,58081.6
0,6,0.35,70000,67188,68101.3
0,7,0.4,80000,76688,76971.7
0,8,0.45,90000,86209,86470.4
0,9,0.5,100000,95672,95901.8
0,10,0.55,110000,105138,107241
0,11,0.6,120000,114603,116149
0,12,0.65,130000,124024,124305
0,13,0.7,140000,133431,133721
0,14,0.75,150000,142817,142199
0,15,0.8,160000,152222,151184
0,16,0.85,170000,161627,159564
0,17,0.9,180000,171051,168326
0,18,0.95,190000,180433,178645
0,19,1,200000,189809,186764
1,0,0.05,10000,9714,9781.97
1,1,0.1,20000,19354,19039.2
1,2,0.15,30000,28935,28753.1
1,3,0.2,40000,38505,38195.8
1,4,0.25,50000,48062,48178.3
1,5,0.3,60000,57550,57574
1,6,0.35,70000,67026,68036.7
1,7,0.4,80000,76558,77717.9
1,8,0.45,90000,86051,87927.6
1,9,0.5,100000,95577,98419.7
1,10,0.55,110000,105015,108526
1,11,0.6,120000,114470,117580
1,12,0.65,130000,123925,126671
1,13,0.7,140000,133374,137578
1,14,0.75,150000,142860,147103
1,15,0.8,160000,152314,157603
1,16,0.85,170000,161755,166428
1,17,0.9,180000,171164,175879
1,18,0.95,190000,180584,184957
1,19,1,200000,189976,193912
2,0,0.05,10000,9728,9653.29
2,1,0.1,20000,19341,19386
2,2,0.15,30000,28974,28946
2,3,0.2,40000,38565,38335.8
2,4,0.25,50000,48138,47489.8
2,5,0.3,60000,57669,56670.7
2,6,0.35,70000,67224,66371.7
2,7,0.4,80000,76757,75962.1
2,8,0.45,90000,86259,85023.3
2,9,0.5,100000,95717,94137.9
2,10,0.55,110000,105214,102142
2,11,0.6,120000,114632,112096
2,12,0.65,130000,124128,122838
2,13,0.7,140000,133585,131545
2,14,0.75,150000,143020,140296
2,15,0.8,160000,152420,149826
2,16,0.85,170000,161841,158608
2,17,0.9,180000,171260,166971
2,18,0.95,190000,180593,177471
2,19,1,200000,189987,185371
3,0,0.05,10000,9695,9417.41
3,1,0.1,20000,19319,18952.7
3,2,0.15,30000,28868,28593.1
3,3,0.2,40000,38467,37937.8
3,4,0.25,50000,48069,47720.1
3,5,0.3,60000,57591,57182.1
3,6,0.35,70000,67090,66652
3,7,0.4,80000,76599,75489
3,8,0.45,90000,86095,85739
3,9,0.5,100000,95548,96266.2
3,10,0.55,110000,105008,106686
3,11,0.6,120000,114461,115754
3,12,0.65,130000,123884,125358
3,13,0.7,140000,133284,135531
3,14,0.75,150000,142721,144628
3,15,0.8,160000,152151,154939
3,16,0.85,170000,161574,164212
3,17,0.9,180000,171012,173043
3,18,0.95,190000,180381,182548
3,19,1,200000,189779,190499
4,0,0.05,10000,9706,9569.7
4,1,0.1,20000,19323,19497.4
4,2,0.15,30000,28932,29284.6
4,3,0.2,40000,38515,39028.4
4,4,0.25,50000,48082,48222.9
4,5,0.3,60000,57642,57386.5
4,6,0.35,70000,67135,66509.8
4,7,0.4,80000,76646,76358.1
4,8,0.45,90000,86149,86926.7
4,9,0.5,100000,95625,96887.1
