stream_id,step,fraction,processed,true_f0,estimate
0,0,0.05,10000,9727,9345.63
0,1,0.1,20000,19365,19215
0,2,0.15,30000,28948,28771.4
0,3,0.2,40000,38523,38164
0,4,0.25,50000,48096,47441.4
0,5,0.3,60000,57653,58519.2
0,6,0.35,70000,67188,67696
0,7,0.4,80000,76688,74346.9
0,8,0.45,90000,86209,84098.8
0,9,0.5,100000,95672,93763.5
0,10,0.55,110000,105138,103896
0,11,0.6,120000,114603,115145
0,12,0.65,130000,124024,122444
0,13,0.7,140000,133431,133108
0,14,0.75,150000,142817,142896
0,15,0.8,160000,152222,154182
0,16,0.85,170000,161627,161193
0,17,0.9,180000,171051,170848
0,18,0.95,190000,180433,181871
0,19,1,200000,189809,188318
1,0,0.05,10000,9714,10018.6
1,1,0.1,20000,19354,19727.9
1,2,0.15,30000,28935,29045.9
1,3,0.2,40000,38505,39345.5
1,4,0.25,50000,48062,50278.6
1,5,0.3,60000,57550,60738.3
1,6,0.35,70000,67026,72819.2
1,7,0.4,80000,76558,82601
1,8,0.45,90000,86051,91998.9
1,9,0.5,100000,95577,103013
1,10,0.55,110000,105015,112989
1,11,0.6,120000,114470,121602
1,12,0.65,130000,123925,132912
1,13,0.7,140000,133374,143181
1,14,0.75,150000,142860,150720
1,15,0.8,160000,152314,162734
1,16,0.85,170000,161755,171073
1,17,0.9,180000,171164,179372
1,18,0.95,190000,180584,190564
1,19,1,200000,189976,199930
2,0,0.05,10000,9728,9859.45
2,1,0.1,20000,19341,19495.1
2,2,0.15,30000,28974,29133.5
2,3,0.2,40000,38565,39187
2,4,0.25,50000,48138,48220.8
2,5,0.3,60000,57669,56656.3
2,6,0.35,70000,67224,65542.7
2,7,0.4,80000,76757,75401
2,8,0.45,90000,86259,84353.1
2,9,0.5,100000,95717,92082.6
2,10,0.55,110000,105214,100478
2,11,0.6,120000,114632,111229
2,12,0.65,130000,124128,123984
2,13,0.7,140000,133585,131802
2,14,0.75,150000,143020,139710
2,15,0.8,160000,152420,149845
2,16,0.85,170000,161841,157934
2,17,0.9,180000,171260,166155
2,18,0.95,190000,180593,178616
2,19,1,200000,189987,184857
3,0,0.05,10000,9695,9580.44
3,1,0.1,20000,19319,19092.3
3,2,0.15,30000,28868,28182.2
3,3,0.2,40000,38467,37854.7
3,4,0.25,50000,48069,47578.1
3,5,0.3,60000,57591,56548.1
3,6,0.35,70000,67090,66730.4
3,7,0.4,80000,76599,77511.1
3,8,0.45,90000,86095,87183.5
3,9,0.5,100000,95548,97943
3,10,0.55,110000,105008,108496
3,11,0.6,120000,114461,118972
3,12,0.65,130000,123884,128783
3,13,0.7,140000,133284,137716
3,14,0.75,150000,142721,145839
3,15,0.8,160000,152151,154059
3,16,0.85,170000,161574,163598
3,17,0.9,180000,171012,174743
3,18,0.95,190000,180381,187155
3,19,1,200000,189779,193461
4,0,0.05,10000,9706,9539.07
4,1,0.1,20000,19323,20374.1
4,2,0.15,30000,28932,29522.8
4,3,0.2,40000,38515,38944.5
4,4,0.25,50000,48082,48048.2
4,5,0.3,60000,57642,57219.8
4,6,0.35,70000,67135,66450.6
4,7,0.4,80000,76646,77972.4
4,8,0.45,90000,86149,89577.6
4,9,0.5,100000,95625,99719
4,10,0.55,110000,105104,111460
4,11,0.6,120000,114532,120370
4,12,0.65,130000,123993,131326
4,13,0.7,140000,133451,143330
4,14,0.75,150000,142881,150038
4,15,0.8,160000,152267,161560
4,16,0.85,170000,161709,173153
4,17,0.9,180000,171111,184846
4,18,0.95,190000,180525,193473
4,19,1,200000,189896,205272
5,0,0.05,10000,9687,9429.98
5,1,0.1,20000,19314,19067.2
5,2,0.15,30000,28923,28858.4
5,3,0.2,40000,38496,37824.7
5,4,0.25,50000,48033,46641.4
5,5,0.3,60000,57589,55729.4
5,6,0.35,70000,67113,66495
5,7,0.4,80000,76631,74551.6
5,8,0.45,90000,86168,85025.1
5,9,0.5,100000,95694,95543.5
5,10,0.55,110000,105155,106201
5,11,0.6,120000,114630,116992
5,12,0.65,130000,124057,126765
5,13,0.7,140000,133475,137576
5,14,0.75,150000,142881,147775
5,15,0.8,160000,152307,155463
5,16,0.85,170000,161698,165710
5,17,0.9,180000,171080,175949
5,18,0.95,190000,180460,184966
5,19,1,200000,189864,196125
6,0,0.05,10000,9696,9862.72
6,1,0.1,20000,19338,18885.5
6,2,0.15,30000,28940,27870.9
6,3,0.2,40000,38536,36792.1
6,4,0.25,50000,48075,45429.1
6,5,0.3,60000,57616,56749.7
6,6,0.35,70000,67152,65746.8
6,7,0.4,80000,76672,76305
6,8,0.45,90000,86141,83013.2
6,9,0.5,100000,95600,90624.2
6,10,0.55,110000,105080,97836.7
6,11,0.6,120000,114533,105494
6,12,0.65,130000,123993,114844
6,13,0.7,140000,133376,125614
6,14,0.75,150000,142793,134991
6,15,0.8,160000,152207,146107
6,16,0.85,170000,161637,156758
6,17,0.9,180000,171006,165994
6,18,0.95,190000,180411,176101
6,19,1,200000,189795,183092
7,0,0.05,10000,9732,9783.81
7,1,0.1,20000,19348,18460.7
7,2,0.15,30000,28955,29449.1
7,3,0.2,40000,38541,37697
7,4,0.25,50000,48078,48123.4
7,5,0.3,60000,57586,57001.5
7,6,0.35,70000,67134,67933.8
7,7,0.4,80000,76614,77592.9
7,8,0.45,90000,86094,87090.5
7,9,0.5,100000,95592,98877.6
7,10,0.55,110000,105051,109613
7,11,0.6,120000,114515,116279
7,12,0.65,130000,123980,124647
7,13,0.7,140000,133411,133094
7,14,0.75,150000,142790,141309
7,15,0.8,160000,152249,151405
7,16,0.85,170000,161665,160819
7,17,0.9,180000,171027,169945
7,18,0.95,190000,180431,181085
7,19,1,200000,189843,192141
8,0,0.05,10000,9727,10081.8
8,1,0.1,20000,19355,19890.7
8,2,0.15,30000,28953,29475.3
8,3,0.2,40000,38513,38860.2
8,4,0.25,50000,48096,48355.7
8,5,0.3,60000,57620,57035
8,6,0.35,70000,67145,66102.9
8,7,0.4,80000,76684,76293.4
8,8,0.45,90000,86227,86471.6
8,9,0.5,100000,95751,96557.9
8,10,0.55,110000,105185,105476
8,11,0.6,120000,114655,117554
8,12,0.65,130000,124101,127404
8,13,0.7,140000,133578,134968
8,14,0.75,150000,142974,147026
8,15,0.8,160000,152413,156169
8,16,0.85,170000,161825,164560
8,17,0.9,180000,171184,174056
8,18,0.95,190000,180578,182411
8,19,1,200000,189960,192842
9,0,0.05,10000,9714,9360.7
9,1,0.1,20000,19318,18271.7
9,2,0.15,30000,28918,26599.9
9,3,0.2,40000,38504,35870.4
9,4,0.25,50000,48071,46316
9,5,0.3,60000,57600,55190.5
9,6,0.35,70000,67125,64864.4
9,7,0.4,80000,76657,73628.7
9,8,0.45,90000,86180,81946.9
9,9,0.5,100000,95675,91190
9,10,0.55,110000,105177,100156
9,11,0.6,120000,114622,112500
9,12,0.65,130000,124088,122031
9,13,0.7,140000,133538,131790
9,14,0.75,150000,142930,145586
9,15,0.8,160000,152366,156790
9,16,0.85,170000,161779,164817
9,17,0.9,180000,171138,171653
9,18,0.95,190000,180528,181026
9,19,1,200000,189928,189796
10,0,0.05,10000,9694,9718.93
10,1,0.1,20000,19310,18649.7
10,2,0.15,30000,28920,28691.8
10,3,0.2,40000,38482,36592.5
10,4,0.25,50000,48032,45390.5
10,5,0.3,60000,57571,56605.1
10,6,0.35,70000,67096,67061.2
10,7,0.4,80000,76589,76975.6
10,8,0.45,90000,86085,84879.9
10,9,0.5,100000,95584,95163.7
10,10,0.55,110000,105060,106425
10,11,0.6,120000,114478,116648
10,12,0.65,130000,123928,125577
10,13,0.7,140000,133351,133152
10,14,0.75,150000,142788,139373
10,15,0.8,160000,152182,150848
10,16,0.85,170000,161591,160881
10,17,0.9,180000,170999,172392
10,18,0.95,190000,180403,182161
10,19,1,200000,189720,191981
11,0,0.05,10000,9726,9531.64
11,1,0.1,20000,19339,19120.5
11,2,0.15,30000,28943,30285.7
11,3,0.2,40000,38544,39424.8
11,4,0.25,50000,48099,48714.1
11,5,0.3,60000,57667,58856.1
11,6,0.35,70000,67226,68232.8
11,7,0.4,80000,76734,80314.7
11,8,0.45,90000,86216,88879.8
11,9,0.5,100000,95686,98592.9
11,10,0.55,110000,105181,108665
11,11,0.6,120000,114676,118275
11,12,0.65,130000,124158,129269
11,13,0.7,140000,133600,139040
11,14,0.75,150000,143006,147611
11,15,0.8,160000,152410,157271
11,16,0.85,170000,161804,163248
11,17,0.9,180000,171210,173033
11,18,0.95,190000,180639,181984
11,19,1,200000,190020,194558
12,0,0.05,10000,9721,9893.03
12,1,0.1,20000,19356,19561.7
12,2,0.15,30000,28936,28001.2
12,3,0.2,40000,38543,37889.8
12,4,0.25,50000,48088,49034.1
12,5,0.3,60000,57640,58159.3
12,6,0.35,70000,67162,67843.1
12,7,0.4,80000,76657,75893.7
12,8,0.45,90000,86164,87300.6
12,9,0.5,100000,95636,96813
12,10,0.55,110000,105100,106795
12,11,0.6,120000,114546,116189
12,12,0.65,130000,124015,125074
12,13,0.7,140000,133431,137913
12,14,0.75,150000,142843,149342
12,15,0.8,160000,152266,161038
12,16,0.85,170000,161705,170953
12,17,0.9,180000,171078,180603
12,18,0.95,190000,180441,188709
12,19,1,200000,189832,199770
13,0,0.05,10000,9721,9741.02
13,1,0.1,20000,19377,19111.9
13,2,0.15,30000,28952,28569.8
13,3,0.2,40000,38557,37822.7
13,4,0.25,50000,48141,46157
13,5,0.3,60000,57714,56834.8
13,6,0.35,70000,67261,64480.3
13,7,0.4,80000,76814,73041.4
13,8,0.45,90000,86333,83484.5
13,9,0.5,100000,95792,93784.1
13,10,0.55,110000,105304,103897
13,11,0.6,120000,114751,112272
13,12,0.65,130000,124216,121936
13,13,0.7,140000,133633,131647
13,14,0.75,150000,143066,140948
13,15,0.8,160000,152460,152373
13,16,0.85,170000,161921,159875
13,17,0.9,180000,171373,169517
13,18,0.95,190000,180799,179635
13,19,1,200000,190180,186434
14,0,0.05,10000,9733,10166.2
14,1,0.1,20000,19356,19897
14,2,0.15,30000,28983,28896.5
14,3,0.2,40000,38602,38421
14,4,0.25,50000,48143,47618.5
14,5,0.3,60000,57689,59455.3
14,6,0.35,70000,67191,70026.4
14,7,0.4,80000,76705,80228.4
14,8,0.45,90000,86219,90186.1
14,9,0.5,100000,95705,99862.5
14,10,0.55,110000,105186,112029
14,11,0.6,120000,114638,118223
14,12,0.65,130000,124120,128877
14,13,0.7,140000,133586,137799
14,14,0.75,150000,143016,146965
14,15,0.8,160000,152423,157727
14,16,0.85,170000,161809,165535
14,17,0.9,180000,171180,174555
14,18,0.95,190000,180601,182543
14,19,1,200000,190013,193046
15,0,0.05,10000,9708,9643.93
15,1,0.1,20000,19379,18716.6
15,2,0.15,30000,28985,28237.7
15,3,0.2,40000,38543,38266.4
15,4,0.25,50000,48075,46719.1
15,5,0.3,60000,57622,55863.5
15,6,0.35,70000,67176,66738.3
15,7,0.4,80000,76644,77884.2
15,8,0.45,90000,86129,85507.4
15,9,0.5,100000,95607,96466.9
15,10,0.55,110000,105108,106926
15,11,0.6,120000,114571,115523
15,12,0.65,130000,124056,125166
15,13,0.7,140000,133476,134982
15,14,0.75,150000,142905,146516
15,15,0.8,160000,152319,154213
15,16,0.85,170000,161724,162657
15,17,0.9,180000,171139,172648
15,18,0.95,190000,180529,183207
15,19,1,200000,189898,194033
16,0,0.05,10000,9724,10153.1
16,1,0.1,20000,19335,18214.5
16,2,0.15,30000,28926,28704.3
16,3,0.2,40000,38502,37575.8
16,4,0.25,50000,48062,48279.2
16,5,0.3,60000,57594,59825.2
16,6,0.35,70000,67105,69825.5
16,7,0.4,80000,76597,79166
